job_id,company_id,job_title,experience_level,employment_type,salary_range_usd,posted_date
152,152,ML Engineer,Mid,Internship,84480-167599,2024-03-21
153,153,AI Product Manager,Mid,Contract,74795-159585,2023-12-14
154,154,AI Researcher,Mid,Internship,128089-227314,2024-07-27
155,155,NLP Engineer,Mid,Contract,59563-117049,2024-06-04
156,156,Data Analyst,Senior,Remote,124014-215657,2024-11-23
157,157,Computer Vision Engineer,Senior,Internship,82670-112083,2025-06-23
158,158,NLP Engineer,Senior,Remote,99523-190227,2025-01-02
159,159,Quant Researcher,Mid,Contract,63560-115745,2025-09-14
160,160,Data Analyst,Mid,Contract,96246-127172,2025-03-16
161,161,Quant Researcher,Mid,Internship,133411-230008,2024-02-05
162,162,NLP Engineer,Senior,Contract,44241-67386,2023-12-04
163,163,ML Engineer,Mid,Internship,42621-93559,2025-03-16
164,164,NLP Engineer,Entry,Remote,75069-172405,2025-08-06
165,165,AI Product Manager,Mid,Full-time,110005-156652,2025-04-14
166,166,Computer Vision Engineer,Senior,Internship,127733-156796,2025-09-16
167,167,Computer Vision Engineer,Senior,Internship,81580-132667,2024-04-16
168,168,Data Analyst,Entry,Internship,46318-73935,2024-10-18
169,169,Data Analyst,Entry,Full-time,83360-173396,2024-12-11
170,170,ML Engineer,Mid,Remote,50841-149011,2025-05-02
171,171,AI Product Manager,Senior,Internship,84196-183723,2025-03-15
172,172,AI Researcher,Mid,Contract,92704-181511,2024-05-25
173,173,Data Scientist,Entry,Internship,61245-133612,2024-01-31
174,174,AI Product Manager,Mid,Internship,91839-153147,2024-08-01
175,175,AI Product Manager,Entry,Contract,65330-149814,2025-01-24
176,176,NLP Engineer,Mid,Contract,142316-210339,2025-01-21
177,177,Quant Researcher,Mid,Internship,86369-153860,2025-04-29
178,178,AI Product Manager,Senior,Full-time,123834-203953,2025-08-01
179,179,AI Product Manager,Mid,Remote,86874-127959,2024-10-07
180,180,AI Researcher,Entry,Internship,91853-143054,2024-02-22
181,181,Data Analyst,Senior,Remote,115282-183026,2025-05-23
182,182,NLP Engineer,Mid,Internship,100075-181375,2024-06-08
183,183,AI Researcher,Entry,Internship,84286-155592,2024-08-22
184,184,Quant Researcher,Senior,Full-time,81464-148211,2024-03-26
185,185,Computer Vision Engineer,Entry,Remote,142464-186808,2025-01-29
186,186,Data Analyst,Entry,Contract,121357-161420,2024-10-21
187,187,AI Researcher,Mid,Full-time,126266-151205,2024-01-20
188,188,Computer Vision Engineer,Mid,Remote,43986-115213,2024-09-14
189,189,Data Scientist,Entry,Internship,62157-96230,2024-09-29
190,190,AI Product Manager,Entry,Full-time,102546-120953,2024-05-30
191,191,Data Analyst,Mid,Internship,79611-163781,2024-10-28
192,192,AI Researcher,Senior,Full-time,142867-168105,2024-01-25
193,193,ML Engineer,Mid,Contract,63520-101934,2024-02-11
194,194,Data Scientist,Senior,Internship,116202-179210,2024-05-19
195,195,Quant Researcher,Mid,Internship,137620-173474,2023-11-04
196,196,NLP Engineer,Entry,Internship,131485-218283,2024-12-08
197,197,AI Product Manager,Entry,Internship,117341-158797,2024-08-27
198,198,Data Analyst,Entry,Internship,123706-167631,2024-08-15
199,199,Quant Researcher,Mid,Contract,43828-96329,2024-04-01
200,200,AI Product Manager,Entry,Full-time,130984-170051,2025-06-17
201,201,Data Scientist,Entry,Internship,125831-194965,2024-12-31
202,202,AI Product Manager,Entry,Contract,96628-121086,2024-11-07
203,203,NLP Engineer,Entry,Remote,85788-132802,2024-02-16
204,204,Quant Researcher,Mid,Internship,147975-247578,2025-05-12
205,205,Data Analyst,Entry,Contract,48226-90071,2024-12-24
206,206,Data Scientist,Senior,Full-time,62447-129068,2025-01-22
207,207,Computer Vision Engineer,Senior,Internship,110876-127413,2024-05-18
208,208,AI Product Manager,Senior,Remote,85915-109356,2023-10-13
209,209,AI Product Manager,Entry,Full-time,143326-161834,2024-01-09
210,210,Data Scientist,Senior,Full-time,89991-179017,2024-01-01
211,211,Computer Vision Engineer,Senior,Remote,67897-156557,2023-11-08
212,212,AI Product Manager,Entry,Remote,44318-101581,2024-01-16
213,213,Data Analyst,Mid,Internship,67657-112933,2024-12-31
214,214,Quant Researcher,Entry,Contract,97752-152521,2025-01-29
215,215,Data Scientist,Entry,Internship,93403-169785,2024-01-13
216,216,NLP Engineer,Senior,Remote,143054-182950,2024-01-08
217,217,Computer Vision Engineer,Entry,Internship,123977-182190,2023-10-24
218,218,AI Researcher,Mid,Remote,108708-183957,2024-07-09
219,219,Quant Researcher,Entry,Contract,42431-121809,2024-09-09
220,220,AI Researcher,Entry,Full-time,129721-169068,2025-03-16
221,221,ML Engineer,Mid,Contract,51999-114433,2024-11-06
222,222,Data Scientist,Senior,Full-time,133703-230141,2024-06-20
223,223,Quant Researcher,Senior,Remote,75109-126693,2025-06-17
224,224,Data Analyst,Senior,Contract,102227-124205,2024-06-06
225,225,AI Researcher,Mid,Remote,77125-136585,2024-09-08
226,226,Computer Vision Engineer,Senior,Internship,114539-151150,2024-10-02
227,227,Quant Researcher,Entry,Contract,42773-105072,2023-10-01
228,228,AI Researcher,Entry,Contract,122640-208762,2024-05-13
229,229,AI Product Manager,Mid,Full-time,90611-152714,2024-04-23
230,230,AI Product Manager,Senior,Internship,61529-88876,2023-12-16
231,231,AI Product Manager,Mid,Contract,62907-140660,2025-04-19
232,232,AI Product Manager,Mid,Internship,87618-184731,2024-05-01
233,233,Computer Vision Engineer,Senior,Full-time,129185-169420,2025-04-11
234,234,Data Analyst,Entry,Internship,127161-187759,2024-12-21
235,235,NLP Engineer,Senior,Remote,91557-109518,2023-12-10
236,236,AI Product Manager,Entry,Remote,85776-173610,2024-09-11
237,237,AI Researcher,Senior,Internship,95255-160292,2024-09-09
238,238,AI Researcher,Senior,Remote,70536-137707,2024-08-24
239,239,AI Product Manager,Entry,Remote,56526-149136,2023-10-29
240,240,Quant Researcher,Senior,Remote,40077-124906,2023-09-26
241,241,Data Analyst,Entry,Remote,136304-175873,2025-08-19
242,242,Computer Vision Engineer,Mid,Full-time,45264-63508,2025-08-17
243,243,Computer Vision Engineer,Senior,Internship,70448-88238,2024-05-05
244,244,Data Analyst,Senior,Internship,132241-182322,2024-08-29
245,245,Data Scientist,Senior,Contract,97077-144023,2023-12-13
246,246,Data Scientist,Senior,Internship,93070-155510,2024-04-10
247,247,Quant Researcher,Senior,Internship,110751-196979,2024-10-18
248,248,Data Scientist,Entry,Internship,57928-153531,2025-05-29
249,249,AI Product Manager,Entry,Internship,139669-235176,2024-09-13
250,250,Data Scientist,Mid,Full-time,76192-110813,2024-12-25
251,251,AI Researcher,Mid,Remote,86522-144139,2024-09-04
252,252,NLP Engineer,Mid,Full-time,40634-94055,2024-07-31
253,253,Computer Vision Engineer,Entry,Remote,50432-62117,2025-05-15
254,254,Data Scientist,Senior,Internship,92187-143257,2024-05-28
255,255,AI Product Manager,Mid,Full-time,139231-220256,2025-03-21
256,256,AI Product Manager,Entry,Remote,116281-126487,2024-06-19
257,257,AI Product Manager,Senior,Internship,66964-130664,2024-10-15
258,258,ML Engineer,Senior,Remote,72900-93392,2023-10-21
259,259,AI Researcher,Senior,Full-time,122910-218807,2024-04-09
260,260,NLP Engineer,Senior,Remote,60661-137033,2025-08-14
261,261,Data Analyst,Entry,Full-time,51191-106210,2024-09-02
262,262,Data Scientist,Entry,Contract,67972-161749,2025-07-22
263,263,Computer Vision Engineer,Mid,Internship,43847-66742,2025-03-30
264,264,Data Scientist,Mid,Remote,66723-83982,2024-12-08
265,265,Data Analyst,Entry,Internship,149030-200926,2024-02-18
266,266,Quant Researcher,Mid,Contract,42247-66979,2024-11-13
267,267,Data Analyst,Senior,Full-time,57957-133868,2025-04-18
268,268,AI Product Manager,Mid,Remote,91662-156759,2024-10-06
269,269,AI Researcher,Entry,Contract,123795-160363,2025-08-19
270,270,AI Product Manager,Entry,Remote,92753-165745,2025-08-19
271,271,AI Researcher,Mid,Internship,94406-130758,2025-06-08
272,272,Computer Vision Engineer,Mid,Remote,105919-193927,2025-02-03
273,273,Data Scientist,Entry,Internship,129469-211237,2024-02-19
274,274,ML Engineer,Entry,Remote,68792-82411,2025-06-14
275,275,AI Researcher,Mid,Contract,92739-133823,2025-04-10
276,276,Computer Vision Engineer,Senior,Internship,85651-149208,2025-04-29
277,277,Data Scientist,Senior,Contract,51635-124521,2025-03-04
278,278,AI Product Manager,Mid,Contract,87231-97496,2023-12-26
279,279,NLP Engineer,Entry,Contract,103271-157584,2025-09-19
280,280,Quant Researcher,Mid,Contract,43405-107147,2025-02-14
281,281,Data Analyst,Mid,Contract,55825-93053,2025-04-26
282,282,Data Analyst,Senior,Internship,96220-194055,2024-12-13
283,283,Computer Vision Engineer,Entry,Contract,123561-166771,2024-01-19
284,284,Data Scientist,Senior,Remote,91175-121911,2025-08-03
285,285,ML Engineer,Entry,Internship,84664-173228,2024-09-12
286,286,Data Analyst,Senior,Full-time,109743-171570,2025-06-05
287,287,AI Researcher,Senior,Internship,55502-113844,2024-02-22
288,288,Data Analyst,Entry,Contract,47355-136323,2025-02-17
289,289,Quant Researcher,Senior,Remote,143690-196277,2024-09-27
290,290,ML Engineer,Mid,Full-time,56560-97606,2025-02-11
291,291,AI Researcher,Mid,Contract,149782-235152,2025-04-07
292,292,AI Product Manager,Entry,Contract,127612-155925,2023-10-22
293,293,AI Researcher,Entry,Full-time,78409-151342,2025-06-12
294,294,Data Analyst,Mid,Internship,149023-169526,2024-09-11
295,295,Quant Researcher,Senior,Full-time,64779-145970,2024-04-20
296,296,Data Analyst,Senior,Remote,69887-112524,2024-10-22
297,297,Data Scientist,Entry,Full-time,119337-178013,2024-11-08
298,298,Data Analyst,Entry,Internship,139462-194245,2025-01-14
299,299,ML Engineer,Entry,Internship,68689-117329,2024-06-12
300,300,AI Researcher,Mid,Contract,87545-175294,2025-02-14
301,301,Data Scientist,Mid,Contract,96034-114094,2023-10-04
302,302,Quant Researcher,Mid,Full-time,71002-108691,2023-10-14
303,303,Data Analyst,Mid,Full-time,48576-127886,2023-11-25
304,304,NLP Engineer,Senior,Contract,133128-151676,2024-11-03
305,305,AI Product Manager,Mid,Remote,72195-154714,2025-08-12
306,306,AI Researcher,Entry,Internship,70554-81212,2025-07-09
307,307,Data Scientist,Entry,Internship,72299-109340,2024-02-17
308,308,Computer Vision Engineer,Mid,Full-time,80922-120813,2023-12-18
309,309,Data Analyst,Senior,Internship,115164-135686,2023-11-14
310,310,Computer Vision Engineer,Entry,Remote,100207-146233,2024-02-01
311,311,Computer Vision Engineer,Senior,Contract,121180-193454,2023-12-06
312,312,Data Scientist,Mid,Full-time,71373-133244,2024-10-21
313,313,Data Scientist,Mid,Internship,41433-118102,2024-05-03
314,314,ML Engineer,Entry,Contract,134278-152472,2024-11-30
315,315,AI Researcher,Mid,Internship,52404-71046,2025-06-11
316,316,NLP Engineer,Entry,Internship,98266-145572,2024-07-27
317,317,Data Analyst,Mid,Contract,134179-212706,2025-03-12
318,318,ML Engineer,Mid,Internship,66368-81382,2024-06-22
319,319,AI Product Manager,Mid,Full-time,115773-215403,2024-09-15
320,320,NLP Engineer,Entry,Contract,130032-174733,2024-02-19
321,321,AI Researcher,Senior,Full-time,105292-172671,2024-09-22
322,322,NLP Engineer,Senior,Full-time,98122-119896,2024-12-18
323,323,AI Product Manager,Senior,Full-time,122419-186888,2024-10-01
324,324,AI Researcher,Senior,Internship,73317-167850,2025-01-01
325,325,Data Scientist,Mid,Remote,52740-129282,2025-01-25
326,326,AI Product Manager,Mid,Contract,130522-169280,2024-01-21
327,327,NLP Engineer,Entry,Internship,146948-163508,2024-07-30
328,328,Quant Researcher,Senior,Internship,63681-156946,2025-04-17
329,329,Quant Researcher,Mid,Full-time,102993-176878,2024-08-06
330,330,ML Engineer,Senior,Full-time,146286-228405,2024-04-02
331,331,Data Scientist,Senior,Internship,55546-105329,2024-04-15
332,332,Data Scientist,Senior,Remote,84124-96081,2024-10-16
333,333,NLP Engineer,Entry,Full-time,105170-188370,2023-11-19
334,334,Computer Vision Engineer,Mid,Full-time,55923-98036,2023-10-07
335,335,AI Researcher,Senior,Full-time,120230-164622,2025-02-05
336,336,Data Analyst,Mid,Internship,126208-174920,2025-06-22
337,337,Quant Researcher,Senior,Remote,123659-207607,2024-09-28
338,338,Data Scientist,Mid,Contract,78431-154672,2025-04-22
339,339,Computer Vision Engineer,Mid,Contract,60552-139539,2025-03-10
340,340,Data Scientist,Senior,Internship,131559-209584,2024-11-24
341,341,Computer Vision Engineer,Mid,Internship,122855-194503,2024-12-19
342,342,ML Engineer,Entry,Full-time,58087-119465,2024-09-12
343,343,AI Product Manager,Entry,Remote,60085-116808,2024-08-31
344,344,Computer Vision Engineer,Entry,Internship,146409-165202,2025-02-02
345,345,Data Analyst,Senior,Internship,120234-139093,2024-06-09
346,346,AI Researcher,Senior,Contract,104105-197396,2024-10-19
347,347,NLP Engineer,Entry,Full-time,148487-177884,2023-11-18
348,348,Quant Researcher,Senior,Internship,80455-100773,2023-11-30
349,349,NLP Engineer,Senior,Full-time,115657-181953,2024-10-13
350,350,AI Product Manager,Senior,Contract,97381-144492,2024-01-16
351,351,AI Researcher,Entry,Internship,55751-133772,2023-12-25
352,352,Computer Vision Engineer,Entry,Internship,90552-188412,2025-07-23
353,353,ML Engineer,Entry,Contract,69230-128642,2024-01-02
354,354,Data Analyst,Entry,Contract,71489-149503,2025-04-22
355,355,Quant Researcher,Senior,Remote,57739-75267,2025-05-22
356,356,Quant Researcher,Senior,Internship,149192-228942,2025-09-12
357,357,ML Engineer,Mid,Internship,91346-160302,2024-06-09
358,358,Data Analyst,Senior,Remote,56886-146884,2024-05-10
359,359,Quant Researcher,Entry,Full-time,56258-108983,2024-12-18
360,360,AI Product Manager,Senior,Full-time,139096-176960,2024-01-25
361,361,NLP Engineer,Entry,Remote,120316-133437,2025-08-21
362,362,AI Product Manager,Mid,Internship,48868-94542,2025-01-31
363,363,NLP Engineer,Entry,Full-time,108994-183026,2025-08-13
364,364,AI Product Manager,Senior,Remote,118921-192736,2024-12-02
365,365,AI Product Manager,Entry,Internship,57113-75630,2024-03-25
366,366,AI Product Manager,Mid,Full-time,70702-164914,2025-05-12
367,367,Data Analyst,Entry,Full-time,114639-183492,2025-06-09
368,368,AI Product Manager,Senior,Contract,110697-201149,2024-06-04
369,369,Data Analyst,Senior,Remote,68664-136603,2024-09-13
370,370,NLP Engineer,Entry,Remote,64445-150617,2024-09-08
371,371,Quant Researcher,Entry,Remote,74954-114010,2024-10-12
372,372,AI Researcher,Senior,Internship,83014-110116,2025-04-07
373,373,ML Engineer,Senior,Contract,146097-192440,2024-08-22
374,374,Data Analyst,Entry,Full-time,50137-121449,2025-03-20
375,375,NLP Engineer,Senior,Full-time,96091-176352,2024-11-25
376,376,AI Product Manager,Senior,Contract,118753-156568,2025-05-03
377,377,Quant Researcher,Entry,Contract,56022-87385,2023-09-24
378,378,NLP Engineer,Senior,Full-time,65449-93935,2024-08-22
379,379,Quant Researcher,Entry,Remote,53432-134809,2024-02-09
380,380,Quant Researcher,Entry,Full-time,91250-117518,2025-02-10
381,381,Data Scientist,Senior,Contract,56274-130011,2024-10-24
382,382,Computer Vision Engineer,Mid,Internship,100532-123437,2025-07-28
383,383,AI Product Manager,Senior,Remote,133743-144254,2023-11-13
384,384,AI Product Manager,Entry,Remote,44510-92759,2023-10-20
385,385,NLP Engineer,Entry,Contract,88577-147284,2025-05-16
386,386,NLP Engineer,Mid,Full-time,129724-218042,2024-06-04
387,387,Quant Researcher,Entry,Internship,41023-80713,2024-03-15
388,388,ML Engineer,Entry,Internship,106371-127550,2025-04-16
389,389,AI Researcher,Mid,Internship,56530-75014,2025-01-04
390,390,NLP Engineer,Entry,Internship,119266-200044,2024-03-14
391,391,AI Product Manager,Senior,Remote,131807-227051,2025-03-20
392,392,ML Engineer,Senior,Internship,50349-109003,2024-06-22
393,393,Quant Researcher,Senior,Contract,56567-116937,2024-09-18
394,394,Data Analyst,Entry,Full-time,137094-205303,2025-04-09
395,395,ML Engineer,Senior,Internship,123710-203362,2024-12-25
396,396,Data Scientist,Mid,Contract,120259-184163,2024-05-30
397,397,Quant Researcher,Entry,Remote,131912-166499,2024-09-23
398,398,NLP Engineer,Entry,Internship,74468-85718,2025-09-13
399,399,Data Analyst,Entry,Remote,43013-128940,2025-09-13
400,400,Data Scientist,Entry,Full-time,55605-70305,2024-09-23
401,401,NLP Engineer,Entry,Full-time,99742-185700,2024-10-25
402,402,AI Product Manager,Mid,Internship,103675-173394,2024-07-26
403,403,Computer Vision Engineer,Mid,Remote,126438-181388,2024-04-25
404,404,NLP Engineer,Mid,Remote,45855-71005,2025-01-16
405,405,AI Researcher,Mid,Contract,77831-145508,2024-06-24
406,406,Quant Researcher,Mid,Internship,91591-110529,2024-11-11
407,407,AI Researcher,Entry,Full-time,115140-139207,2024-04-21
408,408,ML Engineer,Senior,Full-time,52749-82725,2024-11-08
409,409,Quant Researcher,Mid,Remote,59860-82154,2024-11-29
410,410,AI Researcher,Senior,Contract,134954-197152,2025-08-19
411,411,Data Analyst,Senior,Contract,89200-180591,2025-08-09
412,412,AI Researcher,Entry,Full-time,54169-136576,2025-06-28
413,413,Data Scientist,Entry,Remote,77375-151774,2024-12-17
414,414,AI Product Manager,Mid,Internship,44125-73147,2025-08-11
415,415,Data Analyst,Entry,Internship,68767-93624,2025-02-05
416,416,ML Engineer,Mid,Contract,43289-102091,2024-11-29
417,417,AI Product Manager,Entry,Internship,99708-126007,2024-05-19
418,418,ML Engineer,Entry,Contract,57692-81756,2025-04-06
419,419,AI Researcher,Mid,Full-time,54082-149736,2025-09-17
420,420,Data Analyst,Mid,Contract,101456-135672,2024-03-16
421,421,AI Researcher,Mid,Contract,77948-107734,2025-03-15
