company_id,company_name,industry,company_size,location
166,"Boyd, Gallagher and Thompson",Healthcare,Large,"Brandonton, RO"
167,Benjamin-Nguyen,Tech,Startup,"Barryborough, JM"
168,Coleman-Jimenez,Automotive,Mid,"West Alexanderberg, MG"
169,Williams-Gross,Finance,Startup,"Ericport, BR"
170,Gonzalez Ltd,E-commerce,Mid,"Johnsonmouth, BS"
171,Hart-Miller,E-commerce,Startup,"South Gary, BN"
172,Kim Inc,Tech,Mid,"West Ralphview, SL"
173,Horton LLC,Tech,Mid,"Debraview, HU"
174,Mendoza Ltd,Retail,Large,"North Michael, CU"
175,"Alexander, Warner and Mendez",Tech,Mid,"Joneston, TL"
176,Williams Ltd,Automotive,Mid,"Port Ariel, TR"
177,Mills Group,Finance,Mid,"Johnathanmouth, HN"
178,Jordan-Graves,Healthcare,Startup,"East Jennifer, EE"
179,Casey-Smith,Automotive,Mid,"Romerobury, BI"
180,Melton-Turner,Retail,Startup,"West Chelseafurt, AU"
181,Gutierrez-Hernandez,E-commerce,Large,"Lake Thomas, MD"
182,"Oliver, Tran and Jackson",Finance,Startup,"North Briannafort, PH"
183,Diaz-Hardy,Healthcare,Startup,"Davidstad, BY"
184,White-Hayes,Automotive,Large,"West Derek, VU"
185,Dominguez Ltd,Education,Mid,"East Christopher, EE"
186,"Welch, Green and Williams",E-commerce,Large,"Emmafurt, GN"
187,Reed LLC,Healthcare,Large,"Andreside, GA"
188,Brown and Sons,Retail,Large,"New Donald, CU"
189,Gutierrez Group,Automotive,Large,"New Andrea, ST"
190,"Robinson, Stafford and Hoffman",Retail,Large,"Palmerburgh, CF"
191,"Wu, Browning and Ramos",Tech,Mid,"North Louis, UY"
192,Jones-Curtis,Education,Mid,"North Nataliemouth, SR"
193,Lewis-Brooks,Retail,Mid,"Owenshaven, LY"
194,"Hobbs, Lawson and Robertson",Retail,Large,"Port Ricardo, SR"
195,"Gonzales, Lane and Hart",Healthcare,Mid,"Kaylaland, DE"
196,Kim PLC,Retail,Mid,"North Jamietown, KE"
197,"Vasquez, Fleming and Jones",Tech,Startup,"East Melindastad, TO"
198,Rice Inc,Automotive,Mid,"East Linda, KP"
199,"Morris, Jensen and Hamilton",Tech,Mid,"Port Mckenzie, BO"
200,Gonzalez and Sons,Education,Startup,"New Traceyborough, BG"
201,Robinson-Hall,E-commerce,Large,"Flowersberg, MG"
202,Mendoza Ltd,Finance,Mid,"Chandlerville, RS"
203,Richards-Barnes,Finance,Large,"Williamton, TM"
204,Bailey-Harris,Automotive,Startup,"Lake Sarah, SY"
205,Soto and Sons,Automotive,Mid,"East Johnton, HR"
206,Williams Ltd,Healthcare,Startup,"Samuelhaven, BO"
207,Lane-Weaver,Retail,Large,"Garciamouth, KI"
208,Hernandez PLC,Education,Startup,"Lake Charlesmouth, CL"
209,Ortiz-Mcfarland,Finance,Large,"Reyesview, NR"
210,Rice-Hendricks,Healthcare,Mid,"East William, NZ"
211,"Brown, Jackson and Carr",E-commerce,Mid,"Greeneton, LU"
212,"Kelley, Steele and Bell",Finance,Mid,"South Anthonyfurt, BO"
213,Cline PLC,Tech,Mid,"Hannahside, KI"
214,Shah-White,Finance,Large,"Lake Erikburgh, ZM"
215,Davis-Butler,Automotive,Mid,"South Zacharyburgh, ES"
216,"Newton, Kelly and Martinez",Automotive,Mid,"Lake Johnchester, CG"
217,Berry-Lewis,E-commerce,Startup,"Melissaton, LA"
218,"Brandt, Fuller and Cruz",Finance,Large,"New Sydneyton, PH"
219,Turner PLC,Tech,Mid,"Jasonfurt, BW"
220,Sanchez Ltd,Automotive,Startup,"Barnetthaven, IN"
221,Crawford Group,Automotive,Mid,"Abbottmouth, IN"
222,"Humphrey, Barrett and Colon",E-commerce,Large,"Davidmouth, IE"
223,Obrien PLC,Education,Large,"Mariochester, BY"
224,"Stanton, Martin and Martin",Automotive,Large,"West Sally, GR"
225,"James, Payne and Roth",Education,Mid,"West Ernest, BY"
226,"Bowen, Flores and Williams",Finance,Mid,"Alanside, SK"
227,Flynn LLC,Retail,Mid,"Carrollview, HN"
228,"Campos, Floyd and Clark",Finance,Mid,"Changside, DJ"
229,"Henderson, Lynch and Lindsey",Education,Mid,"Thomasland, NI"
230,Mitchell-Peters,Tech,Mid,"Melissaview, GN"
231,Mcfarland Inc,Tech,Mid,"Gatesburgh, ZM"
232,Jones and Sons,Finance,Mid,"Lake Jose, ML"
233,"Nash, Anderson and Brown",Retail,Startup,"New Jeffrey, SV"
234,"Whitehead, Summers and Nelson",Education,Startup,"East Bryce, IS"
235,Gonzalez-Thompson,Education,Mid,"Graceville, TO"
236,"Simon, Price and Dickson",Tech,Mid,"Williamsside, NE"
237,Strickland-Stevenson,Automotive,Mid,"East Mary, LI"
238,Kramer Inc,Automotive,Mid,"Garzaside, NA"
239,Mahoney-Collins,Finance,Startup,"Marktown, AO"
240,Ortiz PLC,Finance,Large,"South Staceyport, IN"
241,"Donaldson, Cox and Lopez",Finance,Large,"Port Marcusville, US"
242,"Clark, Baker and Parks",Automotive,Mid,"Singhfort, PA"
243,Anderson-Gonzalez,E-commerce,Startup,"Samuelton, DK"
244,Walker-Becker,Retail,Mid,"Port Andrewside, MT"
245,Hall Group,Finance,Mid,"New Manuelbury, LS"
246,Blake-Daugherty,E-commerce,Startup,"Lake Adamfurt, BR"
247,Powers Group,Education,Mid,"Grahamshire, PH"
248,Bernard-Herrera,Education,Mid,"Port Denise, MV"
249,Thomas Group,Education,Startup,"New Melissa, KM"
250,Phelps-Johnson,Education,Mid,"Lake Kristen, SY"
251,Young-Brown,Healthcare,Large,"North Samuel, UY"
252,"Alvarez, Martinez and Miller",Finance,Mid,"Kimberlyfort, MN"
253,Phillips-Baker,Education,Startup,"West James, SG"
254,Cochran-Bailey,Retail,Startup,"West Andrew, NA"
255,Vazquez LLC,Education,Startup,"East Bruce, AM"
256,Carey and Sons,Education,Mid,"Robertfort, LK"
257,"Marshall, Mccoy and Montgomery",Healthcare,Large,"Greggbury, KI"
258,Hart-Peterson,Automotive,Mid,"South Christopher, CN"
259,Clark-Sharp,Retail,Startup,"Lake Mark, BN"
260,"Daniels, Martinez and Brown",E-commerce,Mid,"Mariestad, SG"
261,Lawson-Mitchell,Finance,Large,"Jacobchester, PL"
262,"James, Johnson and Pineda",Education,Large,"Maxwellburgh, JO"
263,Allen-Parker,Healthcare,Startup,"North Dakota, BJ"
264,Russell and Sons,Automotive,Startup,"Gallegosbury, MG"
265,"Peters, Mcdaniel and Adams",E-commerce,Mid,"Pruittchester, PG"
266,Jones PLC,Retail,Startup,"West Ricky, US"
267,"Taylor, Ruiz and Padilla",Education,Mid,"Barnettburgh, BO"
268,Johnson-Roberson,Retail,Startup,"Port Rachel, HT"
269,Carey and Sons,Healthcare,Startup,"Lindastad, LB"
270,"Willis, Smith and Norris",Finance,Startup,"South Aaron, MT"
271,Gallagher Inc,E-commerce,Startup,"Cathyton, AL"
272,Jones Inc,E-commerce,Large,"North Thomas, GM"
273,Coleman-Yoder,Education,Large,"Maxwellchester, LK"
274,Mcdonald Ltd,Automotive,Large,"New David, MG"
275,Anderson-Campbell,Education,Mid,"Bestview, AG"
276,"Garner, Massey and Lozano",E-commerce,Startup,"New Douglasburgh, TV"
277,"White, Waters and Johnson",Tech,Startup,"Daleville, CL"
278,Cox-Griffin,Tech,Mid,"East Melissatown, IN"
279,Smith Inc,Tech,Startup,"Perezfurt, SZ"
280,Mason Inc,Automotive,Large,"Angelafurt, BT"
281,Clark Group,Tech,Mid,"Lauraside, US"
282,Sutton-Weber,Automotive,Mid,"West Anna, MK"
283,Stevenson Ltd,Retail,Mid,"Jeffreyport, IS"
284,Scott-Wright,Finance,Large,"Lake Shelly, CN"
285,Gonzales-Charles,E-commerce,Startup,"South Sarah, JO"
286,Saunders Inc,Automotive,Mid,"Lake Lisafurt, ER"
287,Park PLC,E-commerce,Startup,"Amandamouth, LT"
288,Jimenez-Brown,Healthcare,Startup,"Stuartfurt, AL"
289,Mendoza-Smith,Retail,Mid,"South Amy, FJ"
290,Hartman-Torres,Tech,Large,"Leeville, GD"
291,"Johnson, Humphrey and Walsh",Tech,Mid,"Susanland, GQ"
292,"Rose, Miller and Gonzalez",Automotive,Large,"Perkinsbury, ES"
293,Meyer-Randall,Education,Mid,"East Tyler, UA"
294,"Knox, Diaz and Fowler",Education,Large,"New Monique, NZ"
295,Arnold LLC,Healthcare,Startup,"Kathymouth, SB"
296,Durham LLC,Education,Large,"Lake David, JO"
297,"Robinson, Chang and Jimenez",Retail,Mid,"South Richardshire, DM"
298,"Dunn, Anderson and Barber",Tech,Large,"Melaniestad, ET"
299,Lee Ltd,Automotive,Mid,"North Rebeccaton, LB"
300,Powell and Sons,Automotive,Mid,"South Angel, AL"
301,"Thompson, Bonilla and Caldwell",Finance,Mid,"Wellsport, ER"
302,"Allen, Navarro and Palmer",Retail,Mid,"Millerton, SA"
303,Hunt-Richards,Healthcare,Startup,"Michaelview, TO"
304,Malone-Rodriguez,Retail,Mid,"North Johnstad, PY"
305,Shields Group,Retail,Large,"West Savannahbury, WS"
306,"Ball, Vasquez and Morales",E-commerce,Mid,"West Dianastad, KM"
307,"Johnson, Zuniga and Martinez",E-commerce,Large,"Williamberg, TG"
308,Bryan-Rios,Tech,Mid,"Lake Williamton, BT"
309,"Williams, Garza and Hill",Education,Large,"Gateschester, PW"
310,Graves Group,Healthcare,Startup,"Port Michael, KM"
311,"Rogers, Davila and Ashley",Tech,Startup,"North Jamesstad, BO"
312,Strickland-Werner,Automotive,Large,"Port Alicia, UY"
313,"Moreno, Wood and Murillo",E-commerce,Startup,"North Brittany, TL"
314,"Singleton, Simon and Harper",Healthcare,Large,"Padillashire, KW"
315,"Dunn, Snyder and Nichols",Finance,Startup,"Port John, LA"
316,"Wallace, Gonzales and Wilkins",Automotive,Mid,"Josebury, LY"
317,Turner-Mccarthy,Finance,Mid,"Ryanberg, MX"
318,"Reyes, Miller and Burke",Retail,Mid,"West Julie, ZM"
319,"Russell, Kim and Harris",Retail,Startup,"South Staceyview, PY"
320,Miller-Holland,E-commerce,Startup,"Lake Nicole, SB"
321,Anthony-Gould,Automotive,Large,"Davisstad, HR"
322,Adams-Hill,Automotive,Large,"Lewisville, PW"
323,Salas Inc,Retail,Mid,"West Veronica, CN"
324,Morrison-Patel,Education,Startup,"South Brianfurt, VE"
325,Moyer-Simpson,Healthcare,Mid,"Lake Ricky, CF"
326,Jimenez PLC,Finance,Mid,"East Sandra, CR"
327,Atkinson-Gonzales,Tech,Mid,"Jonathanland, LB"
328,Cook LLC,Tech,Mid,"Erikastad, TJ"
329,Wagner Inc,Tech,Mid,"Lake Kelseystad, LB"
330,Galloway-Martinez,Tech,Large,"Michaelland, VC"
331,Love-Rhodes,Retail,Startup,"Port Elizabeth, CZ"
332,Stewart-Kennedy,E-commerce,Startup,"Lake Kathleenstad, TZ"
333,Sparks and Sons,Tech,Mid,"North Emilymouth, FR"
334,White Inc,Healthcare,Mid,"Port Robert, MV"
335,Watson Ltd,E-commerce,Mid,"Port Justinfurt, MK"
336,Clark-Bailey,Education,Large,"North Shelly, KZ"
337,Holland-Mcgee,Education,Startup,"East Christiebury, LR"
338,"Cummings, Schmidt and Clarke",Tech,Large,"Stevenmouth, AD"
339,Hines-Mckinney,E-commerce,Large,"Lake Christopher, FR"
340,Graves and Sons,Healthcare,Startup,"West Sara, BB"
341,Walker-Davis,Tech,Large,"Erinton, MH"
342,"Finley, Bruce and Wheeler",Healthcare,Mid,"West Donald, CG"
343,Simmons-Evans,Tech,Startup,"Thompsonport, BH"
344,Melton-Salazar,Education,Large,"Sanderston, KG"
345,"Anthony, Miller and Russell",E-commerce,Startup,"East Linda, NZ"
346,Young-Anderson,Education,Startup,"East Ryantown, BZ"
347,"Conway, Hernandez and Perez",Finance,Large,"Nunezside, TG"
348,Anderson and Sons,Automotive,Large,"Jadeview, BF"
349,Ware-Ellis,Automotive,Startup,"Leeview, MA"
350,"Snyder, Simpson and Maxwell",Tech,Large,"East Robert, CV"
351,Ellis Ltd,Retail,Startup,"Bullockton, KP"
352,"Blair, Ruiz and Sanchez",Retail,Mid,"Perezview, SN"
353,Griffin-Dalton,Education,Large,"Knightmouth, AF"
354,Alexander PLC,Automotive,Mid,"Lake Marcia, MT"
355,"Velazquez, Brewer and Murphy",E-commerce,Startup,"Mooreville, NP"
356,Bean LLC,Education,Large,"Port Matthewhaven, ST"
357,Rogers-Villanueva,E-commerce,Large,"New Kenneth, DO"
358,Taylor PLC,Tech,Mid,"Schroederport, DK"
359,Lee Group,Tech,Large,"Taylorstad, MR"
360,"Miller, Browning and Shaw",Tech,Large,"Bryanburgh, SK"
361,"Branch, Elliott and Ramirez",Automotive,Large,"New Micheletown, NZ"
362,"Reyes, Vincent and Hayes",Finance,Large,"Kathleenton, IQ"
363,Rose Ltd,Finance,Mid,"South Brianmouth, JM"
364,Miller-Bishop,Healthcare,Large,"West Stephaniefort, FR"
365,Krueger-Tanner,E-commerce,Mid,"Port Rebecca, US"
366,"Johnson, Castaneda and Duke",Tech,Startup,"Powellshire, JM"
367,"Riley, Beltran and Lucero",E-commerce,Startup,"North Natalie, EC"
368,Perez-Williams,Healthcare,Mid,"West Denisetown, VU"
369,Silva-Russell,Retail,Mid,"Petersonchester, UG"
370,"Matthews, Bailey and Banks",Education,Large,"Daughertyborough, SA"
371,Santiago-King,Education,Mid,"Lake Linda, AT"
372,"Caldwell, Richardson and Hines",Retail,Large,"North Jesusfurt, AL"
373,"Washington, Smith and Hicks",Automotive,Startup,"West Regina, AG"
374,"Cummings, Ball and Owens",Healthcare,Mid,"Boydtown, HT"
375,"Harrington, Gross and Kim",Tech,Startup,"Lake Lisamouth, CR"
376,"Bryan, Harding and Hamilton",Finance,Mid,"Campbellburgh, PL"
377,"Miller, Cox and Clark",Tech,Large,"Jacksonberg, MR"
378,Watson-Boyle,Education,Mid,"Geraldville, TT"
379,"Montoya, Chambers and Bennett",E-commerce,Startup,"Odommouth, JO"
380,"Fields, Porter and Martinez",Finance,Mid,"New Dawn, CV"
381,"Gallegos, Ruiz and Ross",E-commerce,Large,"Proctorbury, HR"
382,Ingram LLC,Retail,Large,"Gonzalezbury, TW"
383,Moody Inc,E-commerce,Mid,"West Benjamin, DJ"
384,Walls-Kidd,Tech,Startup,"Wheelermouth, UY"
385,Mullins Group,Automotive,Mid,"Brianview, DJ"
386,King Group,Healthcare,Large,"New Jeffreyhaven, AE"
387,Hansen-Stone,Retail,Mid,"West William, ID"
388,Gardner Group,Retail,Startup,"Port Monicaborough, KW"
389,Leonard-Duke,Retail,Mid,"Patrickfurt, BD"
390,Patton and Sons,Retail,Startup,"West Melissa, MH"
391,Vazquez PLC,Automotive,Large,"New Matthew, SC"
392,Romero PLC,Tech,Startup,"Christianland, PT"
393,Howell PLC,Healthcare,Mid,"Millermouth, CF"
394,Beltran PLC,Retail,Large,"Alexiston, UY"
395,Browning Inc,Healthcare,Large,"Shariborough, BO"
396,Strong-Davis,Healthcare,Startup,"Jasonbury, CD"
397,"Richardson, Burton and Stephens",Finance,Mid,"Timothyland, LR"
398,Salinas-Taylor,Retail,Mid,"Georgeport, CI"
399,Hunt Ltd,Finance,Startup,"Jacksonfort, PG"
400,Carr Group,Education,Startup,"Murphymouth, GM"
401,Harris LLC,E-commerce,Mid,"South Randytown, PA"
402,Reyes-Lowery,Automotive,Startup,"Samanthaborough, VA"
403,"Charles, Henry and Stark",Education,Startup,"Valenzuelaborough, BF"
404,"Hill, Lucas and Alvarez",Healthcare,Mid,"Adamport, LC"
405,Stone-Lee,Tech,Large,"North Rebecca, LS"
406,"Johnson, Williams and Perkins",Finance,Mid,"Bennettland, SN"
407,Hays-Smith,Finance,Mid,"North Kristin, LC"
408,Hansen-Martin,Healthcare,Startup,"Jessicaborough, BB"
409,Calderon Inc,Retail,Startup,"Alexanderfort, PT"
410,Brown Group,Healthcare,Startup,"Jameston, RO"
411,"Robertson, Davis and Gray",Tech,Startup,"Martintown, TW"
412,"Anderson, Lawrence and Drake",Automotive,Startup,"Annastad, AT"
413,Lynn-Burke,Healthcare,Startup,"East Carolport, BA"
414,Travis-Glass,Healthcare,Large,"Simmonsside, MW"
415,Leonard LLC,Education,Mid,"Bellfort, MV"
416,"Kim, Allison and Ryan",Retail,Large,"Bowersberg, BD"
417,"Ellis, Townsend and Harrison",Finance,Mid,"South Andreamouth, AF"
418,"Steele, Aguilar and Jackson",Finance,Large,"North Amandamouth, IE"
419,Peck Group,Finance,Mid,"West Christopherville, HR"
420,Higgins-Hall,E-commerce,Startup,"Suttonland, MV"
421,"Hicks, Sullivan and Kline",Education,Startup,"Steveborough, LR"
422,Marquez and Sons,Retail,Mid,"East Aaron, IQ"
423,Moore-Mann,Education,Large,"Melvintown, HT"
424,Ramirez Ltd,Finance,Large,"South Jeremyton, AM"
425,"Garcia, Drake and Gonzalez",Finance,Startup,"Jamesfurt, BW"
426,"Edwards, Jackson and Baker",Automotive,Large,"Sullivanshire, WS"
